Job,average_salary
"Postal Service Mail Sorters, Processors, and Processing Machine Operators","56350"
"Production, Planning, and Expediting Clerks","57610"
"Shipping, Receiving, and Inventory Clerks","42730"
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","44240"
Executive Secretaries and Executive Administrative Assistants,"73680"
Legal Secretaries and Administrative Assistants,"56330"
Medical Secretaries and Administrative Assistants,"43380"
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","45490"
Data Entry Keyers,"40130"
Word Processors and Typists,"47170"
Desktop Publishers,"57680"
Insurance Claims and Policy Processing Clerks,"49530"
"Mail Clerks and Mail Machine Operators, Except Postal Service","38370"
"Office Clerks, General","43560"
"Office Machine Operators, Except Computer","39600"
Proofreaders and Copy Markers,"51100"
Statistical Assistants,"53900"
"Office and Administrative Support Workers, All Other","46620"
"First-Line Supervisors of Farming, Fishing, and Forestry Workers","60790"
Agricultural Inspectors,"52170"
Animal Breeders,"53520"
"Graders and Sorters, Agricultural Products","34880"
Agricultural Equipment Operators,"41850"
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","36140"
"Farmworkers, Farm, Ranch, and Aquacultural Animals","37060"
"Agricultural Workers, All Other","45660"
Forest and Conservation Workers,"36860"
Fallers,"61190"
Logging Equipment Operators,"49790"
Log Graders and Scalers,"47120"
"Logging Workers, All Other","52950"
First-Line Supervisors of Construction Trades and Extraction Workers,"81340"
Boilermakers,"73840"
Brickmasons and Blockmasons,"63430"
Stonemasons,"56930"
Carpenters,"60970"
Carpet Installers,"52290"
"Floor Layers, Except Carpet, Wood, and Hard Tiles","56680"
Floor Sanders and Finishers,"49910"
Tile and Stone Setters,"53920"
Cement Masons and Concrete Finishers,"57410"
Terrazzo Workers and Finishers,"54220"
Construction Laborers,"49280"
"Paving, Surfacing, and Tamping Equipment Operators","55170"
Pile Driver Operators,"70260"
Operating Engineers and Other Construction Equipment Operators,"62180"
Drywall and Ceiling Tile Installers,"61480"
Tapers,"69300"
Electricians,"67810"
Glaziers,"58320"
"Insulation Workers, Floor, Ceiling, and Wall","52080"
"Insulation Workers, Mechanical","60530"
"Painters, Construction and Maintenance","52110"
Paperhangers,"54020"
Pipelayers,"52840"
"Plumbers, Pipefitters, and Steamfitters","67840"
Plasterers and Stucco Masons,"59050"
Reinforcing Iron and Rebar Workers,"60290"
Roofers,"55840"
Sheet Metal Workers,"64270"
Structural Iron and Steel Workers,"68220"
Solar Photovoltaic Installers,"53140"
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","45590"
Helpers--Carpenters,"40860"
Helpers--Electricians,"41240"
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","38750"
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","39460"
Helpers--Roofers,"42280"
"Helpers, Construction Trades, All Other","43090"
Construction and Building Inspectors,"72880"
Elevator and Escalator Installers and Repairers,"100060"
Fence Erectors,"46650"
Hazardous Materials Removal Workers,"53430"
Highway Maintenance Workers,"49070"
Rail-Track Laying and Maintenance Equipment Operators,"67330"
Septic Tank Servicers and Sewer Pipe Cleaners,"49590"
"Derrick Operators, Oil and Gas","58330"
"Rotary Drill Operators, Oil and Gas","67320"
"Service Unit Operators, Oil and Gas","59390"
"Excavating and Loading Machine and Dragline Operators, Surface Mining","55500"
"Earth Drillers, Except Oil and Gas","60250"
"Explosives Workers, Ordnance Handling Experts, and Blasters","65600"
Continuous Mining Machine Operators,"62110"
"Roof Bolters, Mining","68540"
"Loading and Moving Machine Operators, Underground Mining","63620"
"Underground Mining Machine Operators, All Other","65290"
"Rock Splitters, Quarry","47830"
"Roustabouts, Oil and Gas","47730"
Helpers--Extraction Workers,"46990"
"Extraction Workers, All Other","53050"
"First-Line Supervisors of Mechanics, Installers, and Repairers","79020"
"Computer, Automated Teller, and Office Machine Repairers","48290"
